FID,ID,kabko,lat,long,tanggal_ms,tanggal_iso,hari,populasi,otg,odp_aktif,pdp_aktif,pos_aktif,pos_rs,pos_meninggal,pos_sembuh,pos_total
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1586908800000,2020-04-15,26,1326420,141,698,54,15,15,1,2,18
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1586995200000,2020-04-16,27,1326420,141,600,56,16,16,1,2,19
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591056000000,2020-06-02,74,778789,138,24,0,13,10,0,4,17
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591142400000,2020-06-03,75,778789,138,24,0,14,11,0,4,18
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591228800000,2020-06-04,76,778789,138,22,0,14,11,0,4,18
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591315200000,2020-06-05,77,778789,138,23,0,14,11,0,4,18
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591401600000,2020-06-06,78,778789,138,22,0,14,11,0,4,18
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591488000000,2020-06-07,79,778789,138,22,1,14,11,0,4,18
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591574400000,2020-06-08,80,778789,138,29,1,13,11,0,5,18
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595721600000,2020-07-26,128,994212,1492,121,25,83,42,44,217,344
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595808000000,2020-07-27,129,994212,1499,121,24,85,47,45,218,348
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595894400000,2020-07-28,130,994212,1499,121,24,84,46,45,219,348
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1595980800000,2020-07-29,131,994212,1499,122,20,76,30,45,227,348
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1596067200000,2020-07-30,132,994212,1499,104,21,74,29,46,230,350
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587686400000,2020-04-24,35,1580092,377,288,55,15,5,4,2,21
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587772800000,2020-04-25,36,1580092,381,235,59,15,5,4,2,21
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587859200000,2020-04-26,37,1580092,402,254,62,19,6,4,2,25
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1587945600000,2020-04-27,38,1580092,409,255,67,19,4,4,2,25
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592006400000,2020-06-13,85,1163789,252,42,6,2,2,3,7,12
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592092800000,2020-06-14,86,1163789,252,40,6,3,3,3,7,13
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592179200000,2020-06-15,87,1163789,252,40,3,3,3,3,7,13
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591660800000,2020-06-09,81,778789,138,31,1,14,11,0,5,19
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591747200000,2020-06-10,82,778789,138,42,1,14,11,0,5,19
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591833600000,2020-06-11,83,778789,138,37,1,14,11,0,5,19
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1591920000000,2020-06-12,84,778789,173,37,1,14,11,1,5,20
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590364800000,2020-05-25,66,1268504,367,21,15,34,26,1,4,39
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590451200000,2020-05-26,67,1268504,375,22,14,36,28,1,4,41
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590537600000,2020-05-27,68,1268504,391,20,12,35,29,1,4,40
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590624000000,2020-05-28,69,1268504,405,20,21,36,30,1,4,41
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590710400000,2020-05-29,70,1268504,406,19,21,36,29,1,4,41
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590796800000,2020-05-30,71,1268504,412,22,22,43,34,2,4,49
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1596153600000,2020-07-31,133,994212,1499,99,21,72,27,46,231,349
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1596240000000,2020-08-01,134,994212,1502,99,19,68,23,46,235,349
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1596326400000,2020-08-02,135,994212,1507,119,18,67,13,46,242,355
1,1,KAB. BANGKALAN,-7.044992023914042,112.92884608988699,1596412800000,2020-08-03,136,994212,0,0,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590710400000,2020-05-29,70,1252020,361,27,4,41,26,9,2,52
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590796800000,2020-05-30,71,1252020,361,25,5,44,26,9,3,56
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590883200000,2020-05-31,72,1252020,361,25,3,44,26,9,3,56
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1590969600000,2020-06-01,73,1252020,360,26,2,46,27,10,4,60
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592265600000,2020-06-16,88,1163789,265,39,3,4,4,3,7,14
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592352000000,2020-06-17,89,1163789,277,39,5,4,4,3,7,14
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592438400000,2020-06-18,90,1163789,279,39,5,7,4,3,7,17
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592524800000,2020-06-19,91,1163789,279,37,5,8,8,3,7,18
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1587081600000,2020-04-17,28,1326420,141,570,61,16,16,1,2,19
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1587168000000,2020-04-18,29,1326420,141,573,65,16,16,2,2,20
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1587254400000,2020-04-19,30,1326420,141,508,64,16,16,2,2,20
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1588032000000,2020-04-28,39,1580092,448,256,68,19,4,4,2,25
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1588118400000,2020-04-29,40,1580092,464,253,77,19,6,4,2,25
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1588204800000,2020-04-30,41,1580092,478,262,81,19,7,4,2,25
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1588291200000,2020-05-01,42,1580092,515,303,81,19,7,4,2,25
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1588377600000,2020-05-02,43,1580092,517,305,82,19,7,4,2,25
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590883200000,2020-05-31,72,1268504,436,21,20,43,32,2,6,51
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1590969600000,2020-06-01,73,1268504,441,19,23,54,37,2,6,62
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591056000000,2020-06-02,74,1268504,439,18,24,52,38,2,8,62
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591142400000,2020-06-03,75,1268504,465,17,22,53,47,4,10,67
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591228800000,2020-06-04,76,1268504,470,14,20,62,55,5,10,77
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591315200000,2020-06-05,77,1268504,500,12,20,79,58,4,10,93
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592611200000,2020-06-20,92,1163789,316,36,8,9,9,3,7,19
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592697600000,2020-06-21,93,1163789,316,36,8,9,9,3,7,19
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592784000000,2020-06-22,94,1163789,334,40,8,9,9,3,7,19
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592870400000,2020-06-23,95,1163789,368,41,8,9,9,3,7,19
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1592956800000,2020-06-24,96,1163789,373,38,8,7,7,5,9,21
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1586995200000,2020-04-16,27,1617814,125,101,9,1,0,1,1,3
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1587081600000,2020-04-17,28,1617814,125,112,6,1,0,1,1,3
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1587168000000,2020-04-18,29,1617814,125,110,8,1,0,1,1,3
